NO2,C2H5OH,VOC,CO,Alcohol,LPG
153,188,434,771,1,18
152,188,432,771,1,18
152,187,430,771,1,18
150,187,429,771,1,18
150,187,427,770,1,18
149,186,425,770,1,18
148,186,423,770,1,18
147,186,422,769,1,18
146,185,420,769,1,18
146,184,418,769,1,18
144,184,416,768,1,18
143,183,415,769,1,18
142,182,413,768,1,19
141,183,411,768,1,18
141,182,409,768,1,18
140,181,408,768,1,18
140,181,407,767,1,18
139,180,405,767,1,18
138,181,403,767,1,18
137,180,402,767,1,18
136,179,401,766,1,17
136,179,399,766,1,18
135,179,398,767,1,18
135,179,396,767,1,18
134,178,395,767,1,18
134,178,393,767,1,18
133,178,392,767,1,18
132,178,390,767,1,18
132,177,390,767,1,18
131,178,389,768,1,18
132,178,388,768,1,18
132,177,386,768,1,18
131,177,385,767,1,17
131,178,384,768,1,18
131,177,383,768,1,19
130,177,382,768,1,18
129,177,381,768,1,18
129,177,380,768,1,18
129,176,379,768,1,18
128,176,378,768,1,17
128,175,376,768,2,17
128,176,376,768,1,18
127,175,375,768,1,18
126,175,374,769,1,19
126,175,373,769,1,18
126,175,372,769,1,18
126,175,372,769,1,18
126,175,372,770,1,18
126,175,372,771,1,18
126,175,374,772,1,18
127,174,376,772,1,18
127,175,376,773,1,18
128,175,375,773,1,19
128,175,375,772,1,18
128,175,374,773,1,18
128,175,374,774,1,18
127,175,373,773,1,18
127,174,372,773,1,18
128,175,372,773,1,18
128,174,372,774,1,18
128,174,372,774,2,18
128,174,372,774,1,18
129,174,373,774,1,18
129,174,373,775,1,18
128,174,373,775,1,19
129,174,373,775,1,19
129,174,373,775,1,19
130,175,373,775,1,19
130,174,373,775,1,19
129,174,372,775,1,19
129,174,372,775,1,17
129,175,372,775,1,18
130,174,372,775,1,20
130,174,371,775,1,18
129,175,370,775,1,18
129,174,370,776,1,19
129,174,370,775,1,18
130,174,370,776,1,18
130,174,371,776,1,18
130,174,372,777,1,18
130,174,373,777,1,18
131,174,373,777,1,18
131,174,373,778,1,18
131,175,373,778,1,18
132,175,373,778,1,18
133,175,374,777,1,18
134,174,375,778,1,18
133,175,375,779,1,18
134,175,375,779,2,18
135,175,376,780,1,18
136,175,378,780,1,19
136,176,378,780,1,18
135,175,379,780,1,18
137,176,379,780,2,19
137,175,379,781,1,19
137,175,379,780,1,18
137,176,380,780,1,18
137,175,380,780,1,18
138,176,381,781,1,18
138,176,383,782,1,21
139,176,385,782,1,18
138,176,386,782,1,19
139,177,386,782,1,18
140,176,387,783,1,18
140,177,387,782,1,19
140,177,387,782,1,19
141,177,388,783,1,18
141,177,388,783,1,18
141,176,390,783,1,18
142,177,391,783,1,19
143,177,393,783,1,19
144,178,394,783,1,18
144,177,394,784,1,19
144,178,395,785,1,19
